Day,AnimalNo,PlantNo,FreePlacesNo,MostPopularGen,AvgEnergy,DeathAnimalAvgLifetime,AvgChildNo
0,5,62,25,5,100,0,0
1,5,62,23,3,100,0,0
2,5,65,21,0,101,0,0
3,5,71,15,6,102,0,0
4,5,77,7,0,102,0,0
5,5,82,4,2,103,0,0
6,5,87,1,1,104,0,0
7,5,88,0,4,105,0,0
8,5,88,0,1,106,0,0
9,5,88,0,3,107,0,0
10,5,88,0,1,108,0,0
11,5,88,0,1,109,0,0
12,5,84,0,7,110,0,0
13,5,91,0,6,111,0,0
14,5,96,0,2,112,0,0
15,5,100,0,6,113,0,0
16,5,100,0,3,114,0,0
17,5,100,0,7,115,0,0
18,5,100,0,0,116,0,0
19,5,100,0,4,117,0,0
20,5,100,0,2,118,0,0
21,5,93,0,7,119,0,0
22,5,90,0,4,120,0,0
23,5,96,0,0,121,0,0
24,5,96,0,1,122,0,0
25,5,96,0,1,123,0,0
26,5,92,0,1,124,0,0
27,5,92,0,0,125,0,0
28,5,92,0,5,126,0,0
29,5,92,0,5,127,0,0
30,5,92,0,5,128,0,0
31,5,92,0,7,129,0,0
32,5,92,0,6,130,0,0
33,5,92,0,6,131,0,0
34,5,92,0,1,131,0,0
35,5,92,0,1,132,0,0
36,5,92,0,5,133,0,0
37,5,92,0,6,134,0,0
38,5,92,0,7,135,0,0
39,5,92,0,1,136,0,0
40,5,92,0,2,137,0,0
41,5,92,0,3,138,0,0
42,5,92,0,7,139,0,0
43,5,92,0,5,140,0,0
44,6,92,0,4,117,0,0
45,7,92,0,4,101,0,0
46,7,92,0,5,102,0,0
47,7,92,0,5,103,0,0
48,7,92,0,7,104,0,0
49,7,92,0,5,105,0,0
50,8,92,0,2,92,0,0
51,8,92,0,7,93,0,0
52,8,92,0,7,94,0,0
53,8,92,0,7,95,0,0
54,8,92,0,7,96,0,0
55,8,92,0,5,97,0,0
56,8,92,0,0,98,0,0
57,8,92,0,6,99,0,0
58,8,92,0,7,100,0,0
59,8,92,0,1,101,0,0
60,8,92,0,2,102,0,0
61,8,92,0,3,103,0,0
62,8,92,0,6,104,0,0
63,8,92,0,6,105,0,0
64,8,92,0,4,106,0,0
65,8,92,0,4,107,0,0
66,8,92,0,1,108,0,0
67,8,92,0,1,109,0,0
68,8,88,0,5,110,0,0
69,8,86,2,1,111,0,0
70,8,79,6,7,112,0,0
71,9,84,6,3,100,0,0
72,9,86,2,1,100,0,0
73,10,89,2,6,91,0,1
74,10,90,0,3,92,0,1
75,10,91,0,7,92,0,1
76,11,92,0,7,85,0,1
77,12,92,0,7,78,0,1
78,13,81,1,6,73,0,1
79,14,75,9,3,68,0,1
80,14,68,16,5,68,0,1
81,15,71,20,0,64,0,1
82,17,76,16,2,56,0,1
83,17,64,20,1,56,5,1
84,19,65,25,1,50,5,1
85,20,58,22,1,48,5,1
86,21,62,21,7,45,5,1
87,22,63,23,1,43,4,1
88,22,51,30,3,43,5,1
89,21,52,34,6,45,6,1
90,21,48,34,6,45,7,1
91,23,49,33,7,41,7,1
92,22,53,26,5,43,7,1
93,23,47,30,1,40,7,1
94,24,46,32,0,38,7,1
95,23,40,38,0,40,9,1
96,23,36,43,0,40,8,1
97,24,27,51,1,38,8,1
98,24,33,49,5,38,9,1
99,25,27,55,0,36,9,1
100,26,34,46,6,33,9,1
101,27,33,46,5,32,10,1
102,26,26,53,5,33,9,1
103,23,33,46,1,37,11,1
104,23,39,41,5,36,11,1
105,22,32,45,0,37,11,1
106,21,33,48,6,38,11,2
107,20,27,50,2,40,11,2
